Instructor,Course,Term,Enrolled/Response Rate,Avg Grade Recieved,Avg Hours Worked,Student Learning,Course Structure,Class Environment
"Given, William Allan",AWP 3 - Analytical Writing (002),SP24,10 (70.00%),2.37 (C+),7.29,4.36,4.43,4.54
"Kolodezh, Samuel",AWP 3 - Analytical Writing (009),SP24,7 (42.86%),1.86 (C-),8.33,4.67,4.58,4.42
"Gilbert, Peter W",AWP 3 - Analytical Writing (010),SP24,7 (57.14%),1.81 (C-),8.0,5.0,5.0,4.88
"Gilbert, Peter W",AWP 3 - Analytical Writing (003),WI24,7 (71.43%),2.77 (B-),8.6,4.2,3.9,4.3
"Gilbert, Peter W",AWP 3 - Analytical Writing (004),WI24,8 (100.00%),3.13 (B),6.25,4.41,4.47,4.47
"Hall, Graham T",AWP 3 - Analytical Writing (005),WI24,9 (100.00%),3.37 (B+),8.56,4.75,4.86,4.94
"Hall, Graham T",AWP 3 - Analytical Writing (006),WI24,7 (85.71%),2.63 (C+),8.0,4.46,4.61,4.75
"Wilson, Natalie Ann",AWP 3 - Analytical Writing (008),WI24,6 (83.33%),2.45 (C+),6.6,4.3,4.37,4.55
"Wilson, Natalie Ann",AWP 3 - Analytical Writing (009),WI24,9 (100.00%),2.56 (C+),8.25,4.47,4.5,4.67
"Grant, Melinda G",AWP 3 - Analytical Writing (013),WI24,7 (85.71%),2.76 (B-),8.33,4.5,4.5,4.67
"Grant, Melinda G",AWP 3 - Analytical Writing (014),WI24,9 (100.00%),2.52 (C+),7.22,4.75,4.92,4.89
"West, Geoffrey Scott",AWP 3 - Analytical Writing (015),WI24,9 (100.00%),2.20 (C),6.11,4.63,4.44,4.64
"Gilbert, Peter W",AWP 3 - Analytical Writing (017),WI24,7 (57.14%),2.73 (B-),6.0,4.75,4.75,4.75
"Sartor, Alexandra",AWP 3 - Analytical Writing (019),WI24,8 (87.50%),2.64 (C+),6.43,4.14,4.29,4.54
"Sartor, Alexandra",AWP 3 - Analytical Writing (020),WI24,8 (87.50%),2.68 (C+),7.0,4.5,4.63,4.82
"Eastin, Schuyler E.",AWP 3 - Analytical Writing (025),WI24,5 (60.00%),2.42 (C+),4.33,4.42,4.58,4.67
"Eastin, Schuyler E.",AWP 3 - Analytical Writing (026),WI24,6 (100.00%),2.38 (C+),9.0,3.92,4.13,4.25
"Kolodezh, Samuel",AWP 3 - Analytical Writing (027),WI24,7 (57.14%),1.83 (C-),8.0,4.38,4.69,4.94
"Eastin, Schuyler E.",AWP 3 - Analytical Writing (028),WI24,9 (55.56%),1.74 (C-),5.4,4.2,4.15,4.3
"Kolodezh, Samuel",AWP 3 - Analytical Writing (029),WI24,8 (100.00%),2.45 (C+),5.5,4.31,4.28,4.53
"Kolodezh, Samuel",AWP 3 - Analytical Writing (030),WI24,6 (100.00%),2.95 (B-),8.33,4.63,4.79,4.96
"Given, William Allan",AWP 3 - Analytical Writing (002),FA23,14 (85.71%),2.67 (C+),7.08,4.58,4.63,4.79
"Gilbert, Peter W",AWP 3 - Analytical Writing (005),FA23,14 (100.00%),3.32 (B+),7.86,4.45,4.53,4.64
"Gilbert, Peter W",AWP 3 - Analytical Writing (006),FA23,14 (92.86%),2.86 (B-),7.69,4.46,4.35,4.54
"Gilmore, Lauren Monica",AWP 3 - Analytical Writing (007),FA23,14 (92.86%),3.10 (B),8.46,4.71,4.88,4.83
"Gilmore, Lauren Monica",AWP 3 - Analytical Writing (008),FA23,14 (85.71%),3.03 (B),7.5,4.58,4.77,4.63
"Eastin, Schuyler E.",AWP 3 - Analytical Writing (009),FA23,14 (85.71%),2.56 (C+),8.33,4.48,4.52,4.54
